episode,reward
1,-1615.43
2,-1591.98
3,-1280.02
4,-1062.59
5,-1502.8
6,-1512.16
7,-1623.6
8,-1388.08
9,-1514.06
10,-849.28
11,-1388.29
12,-1671.38
13,-1528.02
14,-1620.16
15,-1567.69
16,-1657.04
17,-1648.54
18,-1604.0
19,-1673.56
20,-1367.08
21,-1244.1
22,-1516.52
23,-1616.76
24,-928.16
25,-1663.32
26,-1355.62
27,-1156.44
28,-1390.47
29,-1064.98
30,-1179.52
31,-1674.51
32,-1647.23
33,-1300.3
34,-1648.44
35,-1479.16
36,-1660.33
37,-1509.46
38,-1264.0
39,-1303.15
40,-1073.19
41,-1523.65
42,-1344.44
43,-1151.88
44,-1555.31
45,-1288.56
46,-1654.21
47,-1413.2
48,-1495.08
49,-1340.32
50,-1467.06
51,-1222.06
52,-1625.29
53,-1182.24
54,-1296.1
55,-1577.74
56,-1620.56
57,-1334.93
58,-1651.15
59,-1584.23
60,-1516.81
61,-1459.76
62,-1049.38
63,-1411.86
64,-945.23
65,-1467.79
66,-1634.34
67,-916.43
68,-1177.17
69,-1604.83
70,-1596.14
71,-1505.77
72,-1653.41
73,-1682.81
74,-1500.69
75,-1508.98
76,-1507.7
77,-1671.1
78,-1648.1
79,-1622.93
80,-1072.33
81,-1575.59
82,-1394.2
83,-1209.73
84,-1511.83
85,-1300.23
86,-1303.77
87,-1587.68
88,-1376.89
89,-1630.15
90,-1415.95
91,-1645.08
92,-1392.01
93,-1365.77
94,-1516.26
95,-1631.61
96,-1653.29
97,-1362.52
98,-1579.19
99,-1499.92
100,-1668.87
