episode,reward
1,-1193.666871714574
2,-1667.871211459021
3,-1055.4229048657787
4,-1648.5169338481926
5,-1611.6068817295254
6,-1519.7606569010939
7,-1681.1158263846314
8,-1446.025572793828
9,-1466.6332324366913
10,-1373.281288707602
11,-1535.042348254924
12,-1559.1627923292438
13,-1485.5073444852196
14,-166.8088680537649
15,-1515.807116485128
16,-1593.7365599323682
17,-1465.9650091384976
18,-1527.0414973552483
19,-1510.046002336257
20,-1513.1771417362825
21,-1453.9700518902325
22,-1512.2307303404925
23,-1519.9761237578375
24,-1522.5909367533268
25,-1470.3273291826304
26,-1287.9749011326894
27,-1420.7476921205764
28,-1422.6860162304263
29,-693.9514783580753
30,-1310.0252128401983
31,-598.1238162846813
32,-1518.2556952586372
33,-1489.2945599735187
34,-1243.1259357820263
35,-286.99604009917346
36,-1148.0472011779127
37,-1045.9301068764223
38,-1514.6452990709938
39,-1132.2105979031446
40,-1102.5342658573722
41,-950.8339073579187
42,-961.5277149404757
43,-1396.7558402609664
44,-1002.3188226885645
45,-461.0186814499509
46,-142.64272813302088
47,-151.72803992440302
48,-1283.1475530126106
49,-13.904978125512054
50,-551.5764552006871
51,-819.475412213219
52,-18.280582924648506
53,-279.13591135834673
54,-481.23913038241693
55,-548.301735742556
56,-139.36817955796914
57,-809.033850967921
58,-542.9376853540305
59,-137.12431215958316
60,-869.6908482738022
61,-1511.915199339859
62,-271.98396312085663
63,-405.92381081059966
64,-133.7788676276099
65,-578.4503655563881
66,-138.82935600751026
67,-747.355881372509
68,-141.2470143247164
69,-2.3213735170819523
70,-713.3953833098284
71,-9.330647782577664
72,-742.5221283351124
73,-284.63131523269465
74,-415.50507455671084
75,-20.644776952183662
76,-411.1492735964589
77,-1504.1314067023095
78,-151.8788753307629
79,-550.7952071225989
80,-803.5976296534105
81,-683.0220711434341
82,-288.27247799829394
83,-686.3773973500046
84,-807.779188429639
85,-907.3987625865341
86,-152.31554202339902
87,-821.0474767347616
88,-804.7182026007662
89,-154.3230145114755
90,-152.57165577089924
91,-283.50418430863306
92,-415.88415576426166
93,-286.7575924558613
94,-152.05637606537823
95,-549.51394673472
96,-543.1767350669758
97,-278.1426110474448
98,-427.3297564542399
99,-146.81355785641568
100,-421.87260916463094
