episode,reward
1,-1632.931102550019
2,-1646.0239632224134
3,-1511.748261688054
4,-1522.0578704745603
5,-1397.90365864506
6,-1646.3106321467349
7,-1194.0155042019355
8,-1395.1106010384274
9,-914.3820639437442
10,-1584.484911401484
11,-1524.41087567028
12,-1504.6280912307766
13,-1630.8924825364643
14,-1586.7087958591512
15,-944.8943970339844
16,-1510.1312709467577
17,-947.9613428953094
18,-1573.284834343455
19,-1505.367563610335
20,-1636.248918767817
21,-1661.92415862244
22,-1349.135142559236
23,-1203.5926987481073
24,-1515.1973599979071
25,-1185.5040806108905
26,-1363.8836585385222
27,-1623.7616175522878
28,-1379.3613573554762
29,-1677.8479414781089
30,-1588.5901170215084
31,-1682.916903535212
32,-1557.6625389634614
33,-1478.6238508772449
34,-1647.738795123148
35,-1505.074429869888
36,-1636.7448688311094
37,-1593.1310642435863
38,-1341.0089129089124
39,-1675.9103158573732
40,-1386.511193692816
41,-1183.0023813549562
42,-1240.2656152176135
43,-1501.1555184036674
44,-1666.7000110360207
45,-1462.2636652930855
46,-946.4598448917966
47,-940.2304156551029
48,-1616.8626357969304
49,-1670.2544254177274
50,-1416.228586612759
51,-1071.9529263853415
52,-1170.4862016737916
53,-1144.6311079467973
54,-1332.7425616613355
55,-1659.2774681083472
56,-1506.9727643925169
57,-1506.6288904786525
58,-1498.1171283211268
59,-1655.5661481990473
60,-1659.5304966725864
61,-1221.7538664249184
62,-1610.2360153480065
63,-1572.8613065522998
64,-1626.566929510545
65,-1504.3704873804847
66,-1473.955797734727
67,-1627.1241568998596
68,-1313.535475231054
69,-1669.5892785267765
70,-1667.3111214147518
71,-1488.9901425949386
72,-1566.6644310670238
73,-1435.4482357562792
74,-1617.9450592632409
75,-1677.4366350568032
76,-1300.7718201417176
77,-956.3912661122031
78,-1469.9545817447838
79,-1486.5125945053335
80,-1562.7689287197575
81,-1429.8946769093118
82,-1596.7511438160377
83,-1493.9225769608656
84,-1654.1181385155714
85,-1433.647401931403
86,-831.6356654372953
87,-1328.8493161051783
88,-755.5873454382426
89,-1631.9314880616564
90,-1473.739901205315
91,-720.5589977428764
92,-1519.5010016701983
93,-1396.9991915748085
94,-1665.8507868365236
95,-1608.7513494459854
96,-1646.8247159613668
97,-1536.2830461076558
98,-1526.109674202249
99,-1494.3617867961232
100,-1494.980994349993
