episode,reward
1,-1615.4324187131588
2,-1591.980545209901
3,-1280.0215729386707
4,-1062.587642853754
5,-1502.804479977173
6,-1512.1585356239732
7,-1623.5989615983308
8,-1388.0751675603876
9,-1514.057704887701
10,-849.2849842266301
11,-1388.2940726871484
12,-1671.378140766795
13,-1528.0194331206876
14,-1620.162755935277
15,-1567.6911436628484
16,-1657.0435209265918
17,-1648.5417018964324
18,-1603.9966565934462
19,-1673.5599645988968
20,-1367.0823235499468
21,-1244.0959825057273
22,-1516.5210639543805
23,-1616.7617018422638
24,-928.160267998146
25,-1663.3184263978637
26,-1355.6206212134625
27,-1156.4422489218846
28,-1390.4681388591575
29,-1064.9762055770263
30,-1179.5209934455663
31,-1674.5050272146875
32,-1647.2317893823622
33,-1300.2999696746037
34,-1648.43836902325
35,-1479.1641255334582
36,-1660.332051849649
37,-1509.456546753336
38,-1263.9984618322167
39,-1303.152515346479
40,-1073.19313050539
41,-1523.6478217364618
42,-1344.4386691713746
43,-1151.8771483585217
44,-1555.3133248042789
45,-1288.5584535914347
46,-1654.2087210780908
47,-1413.2013386741291
48,-1495.0808462192165
49,-1340.3167746017807
50,-1467.0642407339988
51,-1222.0587406753643
52,-1625.2861552970671
53,-1182.2396123353817
54,-1296.1047424011056
55,-1577.7373927051879
56,-1620.5649111017049
57,-1334.9275761256167
58,-1651.1541489586346
59,-1584.226154939548
60,-1516.8094682137564
61,-1459.7602182834903
62,-1049.376840784498
63,-1411.8575718321217
64,-945.2346977084227
65,-1467.7938332195147
66,-1634.3363199678495
67,-916.4332837344759
68,-1177.1727938660003
69,-1604.8314804413246
70,-1596.1436881972554
71,-1505.7658388634131
72,-1653.4086675940578
73,-1682.805146347965
74,-1500.690041134491
75,-1508.9752985506618
76,-1507.702905671511
77,-1671.098573850366
78,-1648.1033407446573
79,-1622.9305625059412
80,-1072.3251822585792
81,-1575.5856262841667
82,-1394.1972682285018
83,-1209.7300410737514
84,-1511.8298270943596
85,-1300.2257266596973
86,-1303.7676684996413
87,-1587.6767694949745
88,-1376.8883884184995
89,-1630.1529321090816
90,-1415.9451665683205
91,-1645.0787024425329
92,-1392.0119126087031
93,-1365.7727109898983
94,-1516.257143709666
95,-1631.6052722146833
96,-1653.286814609928
97,-1362.5156026348125
98,-1579.1917696488142
99,-1499.921278194105
100,-1668.8683205120574
